name,abbrv,formula,state,ref1,ref2,date,E_units,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
"2,4-dimethyl-2-pentanol",C7H16O,C7H16O,aq,test,test,test,J,-136820.00000000003,-427760.0,212.37845849404778,704.5603640676868,133.85,111.86094531799999,81.28809549,141.40305207445726,-54.39365923554,669.572457032021,14.217459999999999,-0.6617544922269336,0
"3,3-dimethyl-2-pentanol",C7H16O,C7H16O,aq,test,test,test,J,-136560.0,-421990.0,230.8590890491373,686.5603640676868,133.72,111.68770443199999,81.37637576,141.46693978392506,-54.40257631696,651.0445703125673,14.438199999999998,-0.6703643724696362,0
"3,4-dimethyl-2-pentanol",C7H16O,C7H16O,aq,test,test,test,J,-144210.0,-426469.99999999994,241.49132114707493,687.4511256105374,134.11,111.99600396940001,81.658868217,142.01983463423136,-54.597985689882,651.7931371273211,14.497629999999997,-0.672690165096729,0
"4,4-dimethyl-2-pentanol",C7H16O,C7H16O,aq,test,test,test,J,-136560.0,-421990.0,230.8590890491373,686.5603640676868,133.72,111.68770443199999,81.37637576,141.46693978392506,-54.40257631696,651.0445703125673,14.438199999999998,-0.6703643724696362,0
"2,2-dimethyl-3-pentanol",C7H16O,C7H16O,aq,test,test,test,J,-136560.0,-421990.0,230.8590890491373,686.5603640676868,133.72,111.68770443199999,81.37637576,141.46693978392506,-54.40257631696,651.0445703125673,14.438199999999998,-0.6703643724696362,0
"2,3-dimethyl-3-pentanol",C7H16O,C7H16O,aq,test,test,test,J,-136820.00000000003,-427760.0,212.37845849404778,704.5603640676868,133.85,111.86094531799999,81.28809549,141.40305207445726,-54.39365923554,669.572457032021,14.217459999999999,-0.6617544922269336,0
"2,4-dimethyl-3-pentanol",C7H16O,C7H16O,aq,test,test,test,J,-144210.0,-426469.99999999994,241.49132114707493,687.4511256105374,134.11,111.99600396940001,81.658868217,142.01983463423136,-54.597985689882,651.7931371273211,14.497629999999997,-0.672690165096729,0
1-octanol,C8H18O,C8H18O,aq,test,test,test,J,-129280.0,-435790.0,296.5764226060719,782.9899541730435,148.94,124.60477084879999,90.10849148400001,159.83998113349247,-61.07879464706401,748.9755185745539,13.80994,-0.6459774964838263,0
2-octanol,C8H18O,C8H18O,aq,test,test,test,J,-131090.0,-442450.0,280.3094428978711,790.7752914340844,149.12,124.5808098176,90.669269568,160.75042595477188,-61.359165097728,755.4828852612864,14.344809999999999,-0.666716206652513,0
3-octanol,C8H18O,C8H18O,aq,test,test,test,J,-131090.0,-442450.0,280.3094428978711,790.7752914340844,149.12,124.5808098176,90.669269568,160.75042595477188,-61.359165097728,755.4828852612864,14.344809999999999,-0.666716206652513,0
4-octanol,C8H18O,C8H18O,aq,test,test,test,J,-131090.0,-442450.0,280.3094428978711,790.7752914340844,149.12,124.5808098176,90.669269568,160.75042595477188,-61.359165097728,755.4828852612864,14.344809999999999,-0.666716206652513,0
2-methyl-1-heptanol,C8H18O,C8H18O,aq,test,test,test,J,-131290.0,-439880.0,289.60006842193616,773.7752914340844,149.24,124.7365201992,90.598664156,160.68360189875165,-61.350293460375994,738.8888533628349,14.175009999999999,-0.6601039249318941,0
