compound,actual,prediction,pred errs
2-Methoxy-2-methylbutane,,393.55,22.37
2-Methoxy-2-methylbutane,,393.55,22.37
2-Methoxy-2-methylbutane,,393.55,22.37
2-Methoxy-2-methylbutane,,393.55,22.37
2-Methoxy-2-methylbutane,,393.55,22.37
2-Methoxy-2-methylbutane,,393.55,22.37
2-Methoxy-2-methylbutane,,393.55,22.37
2-Methoxy-2-methylbutane,,393.55,22.37
2-Methoxy-2-methylbutane,,393.55,22.37
2-Methoxy-2-methylbutane,,393.55,22.37
2-Methoxy-2-methylbutane,,393.55,22.37
2-Methoxy-2-methylbutane,,393.55,22.37
2-Methoxy-2-methylbutane,,393.55,22.37
1-Propoxybutane,,494.24,12.81
1-Methoxyhexane,,479.92,12.97
2-Ethoxy-2-methylbutane,,467.15,23.25
2-Ethoxy-2-methylbutane,,467.15,23.25
2-Ethoxy-2-methylbutane,,467.15,23.25
isobutyl ether,,549.02,19.86
"1,1'-Oxybisbutane",,557.78,12.89
"1,1'-Oxybisbutane",,557.78,12.89
"1,1'-Oxybisbutane",,557.78,12.89
"1,1'-Oxybisbutane",,557.78,12.89
"1,1'-Oxybisbutane",,557.78,12.89
"1,1'-Oxybisbutane",,557.78,12.89
"1,1'-Oxybisbutane",,557.78,12.89
"1,1'-Oxybisbutane",,557.78,12.89
"1,1'-Oxybisbutane",,557.78,12.89
"1,1'-Oxybisbutane",,557.78,12.89
"1,1'-Oxybisbutane",,557.78,12.89
"1,1'-Oxybisbutane",,557.78,12.89
"1,1'-Oxybisbutane",,557.78,12.89
"1,2-Dimethoxyethane",,246.48,23.79
"1,2-Dimethoxyethane",,246.48,23.79
"1,2-Dimethoxyethane",,246.48,23.79
"1,3-Dimethoxypropane",,259.05,17.52
"1,2-Diethoxyethane",,393.69,25.41
"1,2-Diethoxyethane",,393.69,25.41
"1,2-Diethoxyethane",,393.69,25.41
"1,4-Dimethoxybutane",,322.6,17.58
"1,4-Dimethoxybutane",,322.6,17.58
"1,5-Dimethoxypentane",,386.14,17.63
"1,5-Dimethoxypentane",,386.14,17.63
"1,3-Diethoxypropane",,406.26,19.66
"1,3-Diethoxypropane",,406.26,19.66
"1,4-Diethoxybutane",,469.81,19.71
"1,4-Diethoxybutane",,469.81,19.71
"1,2-Dibutoxyethane",,656.39,23.86
"1,2-Dibutoxyethane",,656.39,23.86
"1,2-Dibutoxyethane",,656.39,23.86
Anesthenyl,,179.64,19.69
Anesthenyl,,179.64,19.69
Anesthenyl,,179.64,19.69
"1,1-Diethoxymethane",,335.36,19.58
"1,1-Diethoxymethane",,335.36,19.58
"1,1-Diethoxymethane",,335.36,19.58
"1,1-Diethoxyethane",,417.65,14.44
"1,1-Diethoxyethane",,417.65,14.44
"1,1-Diethoxyethane",,417.65,14.44
"1,1-Diethoxyethane",,417.65,14.44
Alpha-Phellandrene,,482.13,23.94
Alpha-pinene,,383.95,4.92
Alpha-pinene,,383.95,4.92
Alpha-pinene,,383.95,4.92
Alpha-pinene,,383.95,4.92
Alpha-pinene,,383.95,4.92
Alpha-pinene,,383.95,4.92
Alpha-pinene,,383.95,4.92
Alpha-pinene,,383.95,4.92
Alpha-pinene,,383.95,4.92
Alpha-Terpinene,,514.96,11.8
Alpha-Terpinene,,514.96,11.8
Beta-myrcene,,696.96,38.45
Beta-myrcene,,696.96,38.45
Beta-myrcene,,696.96,38.45
Beta-myrcene,,696.96,38.45
Beta-pinene,,369.25,11.93
Beta-pinene,,369.25,11.93
Beta-pinene,,369.25,11.93
Beta-pinene,,369.25,11.93
Beta-pinene,,369.25,11.93
Camphene,,505.53,12.15
Camphene,,505.53,12.15
Gamma-Terpinene,,514.96,11.8
Limonene,,604.74,33.18
Limonene,,604.74,33.18
Limonene,,604.74,33.18
Limonene,,604.74,33.18
Limonene,,604.74,33.18
Limonene,,604.74,33.18
Limonene,,604.74,33.18
Limonene,,604.74,33.18
Limonene,,604.74,33.18
Limonene,,604.74,33.18
Limonene,,604.74,33.18
Limonene,,604.74,33.18
Limonene,,604.74,33.18
Sabinene,,500.26,16.04
Sabinene,,500.26,16.04
Terpinolene,,584.12,23.37
Terpinolene,,584.12,23.37
Tricyclene,,383.95,4.92
Methyl Formate,,161.57,13.97
Methyl Formate,,161.57,13.97
Methyl Formate,,161.57,13.97
Methyl Formate,,161.57,13.97
Methyl Formate,,161.57,13.97
Methyl Formate,,161.57,13.97
Methyl Formate,,161.57,13.97
Ethyl Formate,,239.43,13.89
Ethyl Formate,,239.43,13.89
Ethyl Formate,,239.43,13.89
Ethyl Formate,,239.43,13.89
Ethyl Formate,,239.43,13.89
Ethyl Formate,,239.43,13.89
Ethyl Formate,,239.43,13.89
Ethyl Formate,,239.43,13.89
Ethyl Formate,,239.43,13.89
Propyl Formate,,302.98,13.96
Propyl Formate,,302.98,13.96
Propyl Formate,,302.98,13.96
Propyl Formate,,302.98,13.96
Propyl Formate,,302.98,13.96
Isopropyl Formate,,302.97,26.01
Isobutyl Formate,,362.14,17.63
Isobutyl Formate,,362.14,17.63
Isobutyl Formate,,362.14,17.63
Butyl Formate,,366.52,14.03
Butyl Formate,,366.52,14.03
Butyl Formate,,366.52,14.03
Butyl Formate,,366.52,14.03
Butyl Formate,,366.52,14.03
Isopentyl Formate,,425.69,17.69
Isopentyl Formate,,425.69,17.69
Isopentyl Formate,,425.69,17.69
Isopentyl Formate,,425.69,17.69
Isopentyl Formate,,425.69,17.69
Pentyl Formate,,430.07,14.1
Pentyl Formate,,430.07,14.1
Hexyl Formate,,493.62,14.16
Hexyl Formate,,493.62,14.16
Methyl Acetate,,196.97,12.16
